1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20260401" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 1.1999999999999883E+001 4.1014674763846237E+000 2.4460310936422669E+000 3.5639807405013357E+000 5.4779590574840622E+000 -5.2758313674151269E+000 8.3681749708136124E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599326545581727E+001 8.5000496627254141E-001 3.3486600590676147E+001 3.7512910691664457E-005 1.3489305451777386E+007 9.5817196786142324E+002 9.4997848524643537E+006 -2.1721708382262438E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721708382262438E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3119576549035305E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1756827754699014E-008
2 2.2000000000000003E-005 1.1999999999999741E+001 4.1015398567683832E+000 2.4460316520539611E+000 3.5639985563914287E+000 5.4779576075183760E+000 -5.2758291707877749E+000 8.3681751357281886E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599316545016558E+001 8.5000496627254141E-001 3.3486575163909741E+001 3.7512912715098253E-005 1.3489331468432603E+007 9.5801105851611931E+002 9.4982017313175201E+006 -2.1721708156819325E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721708156819325E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3119576323592188E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1759187501855950E-008
3 3.6400000000000004E-005 1.1999999999999570E+001 4.1015852078829447E+000 2.4460319598685549E+000 3.5640097402627715E+000 5.4779562594068629E+000 -5.2758261867612433E+000 8.3681761471107148E+000 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599305084544792E+001 8.5000496627254141E-001 3.3486546748794389E+001 3.7512931177876000E-005 1.3489345809676269E+007 9.5791034468805424E+002 9.4972099352829512E+006 -2.1721702684506997E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721702684506997E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3119570851279860E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1761162597180018E-008
4 5.3680000000000001E-005 1.1999999999999366E+001 4.1015864339899810E+000 2.4460321584656577E+000 3.5640099474909799E+000 5.4779544827260551E+000 -5.2758234366911889E+000 8.3681764024952141E+000 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599292696253981E+001 8.5000496627254141E-001 3.3486515296540368E+001 3.7512934557850991E-005 1.3489355062427761E+007 9.5790720226588337E+002 9.4971831226476375E+006 -2.1721702192738871E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721702192738871E+001 -9.8999999999999986E+001 -3.7628749457997642E+001 -2.3119570359511730E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1762399155187877E-008
5 7.4416000000000000E-005 1.1999999999999122E+001 4.1015206391340895E+000 2.4460320079763389E+000 3.5639935740216657E+000 5.4779525559349231E+000 -5.2758204094300725E+000 8.3681767203268524E+000 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599279158297060E+001 8.5000496627254163E-001 3.3486480959798683E+001 3.7512938917379049E-005 1.3489348051044812E+007 9.5805266650725036E+002 9.4986220383058414E+006 -2.1721701492370777E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721701492370777E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3119569659143639E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1762437741831336E-008
6 9.9299199999999986E-005 1.1999999999998829E+001 4.1013592877848959E+000 2.4460313591406901E+000 3.5639535606021919E+000 5.4779504997332218E+000 -5.2758171176499822E+000 8.3681771152811635E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599264570526405E+001 8.5000496627254141E-001 3.3486444006865590E+001 3.7512944520975852E-005 1.3489317821464185E+007 9.5841010521826126E+002 9.5021516714995299E+006 -2.1721700515034051E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721700515034051E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3119568681806911E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1760651812787172E-008
7 1.2915903999999998E-004 1.1999999999998479E+001 4.1010424546074269E+000 2.4460297900533439E+000 3.5638751368514980E+000 5.4779483467814591E+000 -5.2758135812943179E+000 8.3681776105575683E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599249090378647E+001 8.5000496627254141E-001 3.3486404860765830E+001 3.7512951803237364E-005 1.3489244717171900E+007 9.5911301960449555E+002 9.5090863562993314E+006 -2.1721699139193287E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721699139193287E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3119567305966147E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1756265681837587E-008
8 1.6499084799999998E-004 1.1999999999998058E+001 4.1005250934633919E+000 2.4460272001657031E+000 3.5637470915093097E+000 5.4779461381579360E+000 -5.2758098341214072E+000 8.3681782274289827E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599232935790184E+001 8.5000496627254141E-001 3.3486364097506289E+001 3.7512961165667079E-005 1.3489124054326832E+007 9.6026198757147881E+002 9.5204209770809431E+006 -2.1721697256028353E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721697256028353E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3119565422801212E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1747649754300797E-008
9 2.0798901759999997E-004 1.1999999999997552E+001 4.0997793765446549E+000 2.4460234880248914E+000 3.5635625183500315E+000 5.4779439221599535E+000 -5.2758059223964908E+000 8.3681789849148061E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2599216378096409E+001 8.5000496627254141E-001 3.3486322427622525E+001 3.7512972973337332E-005 1.3488951107597418E+007 9.6192046942367438E+002 9.5367823125538453E+006 -2.1721694770437693E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1721694770437693E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3119562937210549E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1733593513993355E-008
